date,et_mm,region,et_mm_fuera_de_rango,es_duplicado
2011-02-01,3.742559066482967,Narino,False,False
2011-03-01,4.089772092674616,Narino,False,False
2011-04-01,3.827601743859743,Narino,False,False
2011-05-01,3.880090487247626,Narino,False,False
2011-06-01,3.767598758694429,Narino,False,False
2011-07-01,4.166592172197364,Narino,False,False
2011-08-01,4.0543003313190304,Narino,False,False
2011-09-01,4.180981483906376,Narino,False,False
2011-10-01,3.954961527234618,Narino,False,False
2011-11-01,3.7045789178678494,Narino,False,False
2011-12-01,3.56062111755218,Narino,False,False
2012-01-01,3.2480159087733727,Narino,False,False
2012-02-01,3.3025302912839827,Narino,False,False
2012-03-01,3.902288392751788,Narino,False,False
2012-04-01,3.501564706843625,Narino,False,False
2012-05-01,3.705719736434496,Narino,False,False
2012-06-01,3.848039057207263,Narino,False,False
2012-07-01,4.044639627888446,Narino,False,False
2012-08-01,3.721167660216313,Narino,False,False
2012-09-01,3.1074841084285585,Narino,False,False
2012-10-01,3.858831665685584,Narino,False,False
2012-11-01,3.507698733309708,Narino,False,False
2012-12-01,3.655394375958324,Narino,False,False
2013-01-01,3.767757285567919,Narino,False,False
2013-02-01,3.5303317149179008,Narino,False,False
2013-03-01,3.791519274255782,Narino,False,False
2013-04-01,3.866609338770228,Narino,False,False
2013-05-01,3.648556049694033,Narino,False,False
2013-06-01,4.1720567045242944,Narino,False,False
2013-07-01,3.9893463100488256,Narino,False,False
2013-08-01,3.738632192201458,Narino,False,False
2013-09-01,3.642623258468981,Narino,False,False
2013-10-01,3.9892944503161742,Narino,False,False
2013-11-01,3.945975840180497,Narino,False,False
2013-12-01,3.741927729202181,Narino,False,False
2014-01-01,3.531631773234815,Narino,False,False
2014-02-01,3.255849365333757,Narino,False,False
2014-03-01,3.810149724538444,Narino,False,False
2014-04-01,3.867358772086435,Narino,False,False
2014-05-01,4.074844919893606,Narino,False,False
2014-06-01,3.903667190397902,Narino,False,False
2014-07-01,4.03467952964467,Narino,False,False
2014-08-01,3.546954273751596,Narino,False,False
2014-09-01,3.3524154951099896,Narino,False,False
2014-10-01,4.049305356722456,Narino,False,False
2014-11-01,3.814619882757611,Narino,False,False
2014-12-01,3.882661455159614,Narino,False,False
2015-01-01,3.937698124881494,Narino,False,False
2015-02-01,3.61487761276889,Narino,False,False
2015-03-01,3.854274538683736,Narino,False,False
2015-04-01,4.063226366204999,Narino,False,False
2015-05-01,3.858926262375429,Narino,False,False
2015-06-01,3.993304897121764,Narino,False,False
2015-07-01,3.911014307197843,Narino,False,False
2015-08-01,3.787764949403548,Narino,False,False
2015-09-01,3.535204395332101,Narino,False,False
