date,et_mm,region
2000-11-01,4.069037557813132,Narino
2000-12-01,3.711314055733881,Narino
2001-01-01,3.5613661691097085,Narino
2001-02-01,3.830936956126358,Narino
2001-03-01,3.6275230068583237,Narino
2001-04-01,3.9668528797289926,Narino
2001-05-01,3.7960215866077327,Narino
2001-06-01,4.066030679019465,Narino
2001-07-01,3.944528461889054,Narino
2001-08-01,3.8977438285323798,Narino
2001-09-01,3.7462822721951574,Narino
2001-10-01,3.84894155519842,Narino
2001-11-01,3.6208452195447327,Narino
2001-12-01,3.6560199844657597,Narino
2002-01-01,4.102100442196215,Narino
2002-02-01,3.8069614108547105,Narino
2002-03-01,3.907879470089419,Narino
2002-04-01,3.6826751514820137,Narino
2002-05-01,4.047230634449859,Narino
2002-06-01,3.907795202815468,Narino
2002-07-01,4.090372792074172,Narino
2002-08-01,3.4934970966903274,Narino
2002-09-01,3.7132151340842796,Narino
2002-10-01,4.146760339477689,Narino
2002-11-01,4.029245092005542,Narino
2002-12-01,3.5211858963370086,Narino
2003-01-01,3.589246071910007,Narino
2003-02-01,3.531280765793964,Narino
2003-03-01,3.829494792902,Narino
2003-04-01,3.7530884977267305,Narino
2003-05-01,4.021394541070857,Narino
2003-06-01,4.099387964254905,Narino
2003-07-01,4.067827111390858,Narino
2003-08-01,3.6899004933240516,Narino
2003-09-01,3.747541442382293,Narino
2003-10-01,3.988363446315876,Narino
2003-11-01,4.24302937942397,Narino
2003-12-01,3.7800923009001743,Narino
2004-01-01,3.887116180547344,Narino
2004-02-01,3.5012637727175413,Narino
2004-03-01,3.8586041036933945,Narino
2004-04-01,3.733442664054106,Narino
2004-05-01,4.002273061993353,Narino
2004-06-01,3.9445590768201484,Narino
2004-07-01,4.159955694459884,Narino
2004-08-01,3.797737526172942,Narino
2004-09-01,3.965081678224901,Narino
2004-10-01,4.149891926482385,Narino
2004-11-01,3.890489229778797,Narino
2004-12-01,3.4217387256671263,Narino
2005-01-01,3.9474462498703424,Narino
2005-02-01,3.8971072646083913,Narino
2005-03-01,3.20959817749378,Narino
2005-04-01,4.086221830821142,Narino
2005-05-01,4.062704575020046,Narino
2005-06-01,4.0486869276610555,Narino
2005-07-01,4.109666704879164,Narino
2005-08-01,3.574440304083213,Narino
2005-09-01,3.2546639286747006,Narino
2005-10-01,3.832503753200381,Narino
2005-11-01,3.6432520158277146,Narino
2005-12-01,3.1251840454074182,Narino
2006-01-01,3.5448514742824964,Narino
2006-02-01,3.6117249311194692,Narino
2006-03-01,3.7028735748603125,Narino
2006-04-01,4.012056976480207,Narino
2006-05-01,4.28218338151912,Narino
2006-06-01,4.101888889355322,Narino
2006-07-01,3.9237580057333084,Narino
2006-08-01,3.926979944802068,Narino
2006-09-01,4.150192341323619,Narino
2006-10-01,4.182419525787521,Narino
2006-11-01,3.9016673716685775,Narino
2006-12-01,3.863856493471344,Narino
2007-01-01,3.8902830966761197,Narino
2007-02-01,4.270956130336989,Narino
2007-03-01,3.7121548164587255,Narino
2007-04-01,3.7155835128995425,Narino
2007-05-01,4.017294046973244,Narino
2007-06-01,3.9213052998513285,Narino
2007-07-01,3.923576065582726,Narino
2007-08-01,3.8792174527161367,Narino
2007-09-01,3.7373889001449596,Narino
2007-10-01,3.8679262484952273,Narino
2007-11-01,3.7877162226854986,Narino
2007-12-01,3.4972028206975923,Narino
2008-01-01,3.5330864125891197,Narino
2008-02-01,3.40139220421805,Narino
2008-03-01,3.515667374035873,Narino
2008-04-01,3.9183215707707784,Narino
2008-05-01,3.7822619295781483,Narino
2008-06-01,3.762839618393111,Narino
2008-07-01,4.061134685845409,Narino
2008-08-01,4.080798623170701,Narino
2008-09-01,4.200050545957539,Narino
2008-10-01,4.291839335859473,Narino
2008-11-01,3.8386839604515957,Narino
2008-12-01,3.6678556446556856,Narino
2009-01-01,3.308996112214195,Narino
2009-02-01,3.5168422146531415,Narino
2009-03-01,3.869957640531566,Narino
2009-04-01,3.9665225730662734,Narino
2009-05-01,4.341675767047835,Narino
2009-06-01,3.997748962220777,Narino
2009-07-01,4.488775134011478,Narino
2009-08-01,4.116311289001535,Narino
2009-09-01,4.230186900367101,Narino
2009-10-01,3.88601748178673,Narino
2009-11-01,3.9372306176482574,Narino
2009-12-01,3.506331887533361,Narino
2010-01-01,3.9333177122380074,Narino
2010-02-01,3.5565160746967677,Narino
2010-03-01,3.857352385036088,Narino
2010-04-01,3.6862203782779006,Narino
2010-05-01,3.7390834927272465,Narino
2010-06-01,3.709790501957848,Narino
2010-07-01,3.89189759572312,Narino
2010-08-01,3.860080573344606,Narino
2010-09-01,3.9605319254069613,Narino
2010-10-01,4.128718399398822,Narino
2010-11-01,3.459200281888185,Narino
2010-12-01,3.070957290610965,Narino
2011-01-01,3.4384264427844475,Narino
2011-02-01,3.742559066482967,Narino
2011-03-01,4.089772092674616,Narino
2011-04-01,3.827601743859743,Narino
2011-05-01,3.880090487247626,Narino
2011-06-01,3.767598758694429,Narino
2011-07-01,4.1665921721973636,Narino
2011-08-01,4.0543003313190304,Narino
2011-09-01,4.1809814839063755,Narino
2011-10-01,3.954961527234618,Narino
2011-11-01,3.7045789178678503,Narino
2011-12-01,3.5606211175521794,Narino
2012-01-01,3.2480159087733727,Narino
2012-02-01,3.3025302912839827,Narino
2012-03-01,3.9022883927517875,Narino
2012-04-01,3.501564706843625,Narino
2012-05-01,3.705719736434496,Narino
2012-06-01,3.848039057207263,Narino
2012-07-01,4.044639627888446,Narino
2012-08-01,3.721167660216313,Narino
2012-09-01,3.1074841084285585,Narino
2012-10-01,3.8588316656855834,Narino
2012-11-01,3.507698733309708,Narino
2012-12-01,3.655394375958324,Narino
2013-01-01,3.7677572855679187,Narino
2013-02-01,3.5303317149179008,Narino
2013-03-01,3.791519274255782,Narino
2013-04-01,3.866609338770228,Narino
2013-05-01,3.648556049694033,Narino
2013-06-01,4.1720567045242944,Narino
2013-07-01,3.9893463100488264,Narino
2013-08-01,3.7386321922014583,Narino
2013-09-01,3.6426232584689804,Narino
2013-10-01,3.9892944503161742,Narino
2013-11-01,3.9459758401804965,Narino
2013-12-01,3.7419277292021804,Narino
2014-01-01,3.531631773234815,Narino
2014-02-01,3.2558493653337575,Narino
2014-03-01,3.810149724538444,Narino
2014-04-01,3.867358772086435,Narino
2014-05-01,4.074844919893606,Narino
2014-06-01,3.903667190397902,Narino
2014-07-01,4.03467952964467,Narino
2014-08-01,3.546954273751596,Narino
2014-09-01,3.3524154951099896,Narino
2014-10-01,4.0493053567224555,Narino
2014-11-01,3.814619882757611,Narino
2014-12-01,3.882661455159614,Narino
2015-01-01,3.937698124881494,Narino
2015-02-01,3.61487761276889,Narino
2015-03-01,3.8542745386837356,Narino
2015-04-01,4.063226366204999,Narino
2015-05-01,3.858926262375429,Narino
2015-06-01,3.9933048971217637,Narino
2015-07-01,3.911014307197843,Narino
2015-08-01,3.787764949403548,Narino
2015-09-01,3.535204395332101,Narino
2015-10-01,4.061372241616101,Narino
2015-11-01,4.143590366173451,Narino
2015-12-01,4.432104008636618,Narino
2016-01-01,3.728656154703528,Narino
2016-02-01,3.4464330749161047,Narino
2016-03-01,3.7587274151868977,Narino
2016-04-01,4.023918708910276,Narino
2016-05-01,4.288057966325615,Narino
2016-06-01,3.910968049841766,Narino
2016-07-01,3.8295385000502007,Narino
2016-08-01,3.2297903842845073,Narino
2016-09-01,3.6000150491634035,Narino
2016-10-01,4.077405985805695,Narino
2016-11-01,3.68641035186667,Narino
2016-12-01,3.2563667691095795,Narino
2017-01-01,3.571352192321296,Narino
2017-02-01,4.069420828182546,Narino
2017-03-01,3.872536987672896,Narino
2017-04-01,3.721860525913892,Narino
2017-05-01,3.86093035964374,Narino
2017-06-01,3.5999858044525426,Narino
2017-07-01,4.042952105929373,Narino
2017-08-01,3.6236432699262067,Narino
2017-09-01,3.440903404034363,Narino
2017-10-01,3.670933528350809,Narino
2017-11-01,3.8023708041331052,Narino
2017-12-01,3.370148563307196,Narino
2018-01-01,3.377029047114386,Narino
2018-02-01,3.6008731227047868,Narino
2018-03-01,3.9048133783703807,Narino
2018-04-01,3.9343446263956294,Narino
2018-05-01,3.85173153269006,Narino
2018-06-01,3.9878784771912237,Narino
2018-07-01,3.851548146392516,Narino
2018-08-01,3.489144809200001,Narino
2018-09-01,3.0553056687837854,Narino
2018-10-01,3.575138643478807,Narino
2018-11-01,3.548299456159786,Narino
2018-12-01,3.9252925662548597,Narino
2019-01-01,3.691151855985785,Narino
2019-02-01,3.5012373180574383,Narino
2019-03-01,3.980516062277718,Narino
2019-04-01,3.750887942557134,Narino
2019-05-01,3.73033943434748,Narino
2019-06-01,3.993118658236405,Narino
2019-07-01,4.140136902801456,Narino
2019-08-01,3.7580184391594953,Narino
2019-09-01,2.9267832258411297,Narino
2019-10-01,3.8831543031648006,Narino
2019-11-01,3.851787974410626,Narino
2019-12-01,3.4958260894679842,Narino
2020-01-01,3.79449745401001,Narino
2020-02-01,3.7741614495598186,Narino
2020-03-01,3.847770310010414,Narino
2020-04-01,4.0653079009352036,Narino
2020-05-01,4.347055210807667,Narino
2020-06-01,4.065193805714923,Narino
2020-07-01,4.18230250650445,Narino
2020-08-01,4.101995139987028,Narino
2020-09-01,3.8260783919292343,Narino
2020-10-01,3.729948115788022,Narino
2020-11-01,3.5569103988905386,Narino
2020-12-01,3.320018074677239,Narino
2021-01-01,3.361924677743796,Narino
2021-02-01,3.6748715506100287,Narino
2021-03-01,3.7144735673230773,Narino
2021-04-01,3.7178270758231196,Narino
2021-05-01,4.147363034309351,Narino
2021-06-01,3.723069528253031,Narino
2021-07-01,4.348265124799079,Narino
2021-08-01,4.055696553200604,Narino
2021-09-01,4.276523971777574,Narino
2021-10-01,4.043048897621284,Narino
2021-11-01,3.7149828347242564,Narino
2021-12-01,3.4837304340966826,Narino
2022-01-01,3.696346968946511,Narino
2022-02-01,3.6775447687097302,Narino
2022-03-01,3.7164919685924818,Narino
2022-04-01,3.7852761582243573,Narino
2022-05-01,3.951803174879197,Narino
2022-06-01,3.7300755587347423,Narino
2022-07-01,3.1392310860314825,Narino
2022-08-01,4.337179817608393,Narino
2022-09-01,4.21128616871578,Narino
2022-10-01,4.131011836536465,Narino
2022-11-01,3.715489806210328,Narino
2022-12-01,3.5869982250149244,Narino
2023-01-01,3.5568234265919707,Narino
2023-02-01,3.857792142819376,Narino
2023-03-01,3.860700543108249,Narino
2023-04-01,4.056949207790864,Narino
2023-05-01,3.976750942903538,Narino
2023-06-01,4.2994296855725755,Narino
2023-07-01,4.218710320092345,Narino
2023-08-01,4.193699301597101,Narino
2023-09-01,4.225626030963613,Narino
2023-10-01,4.048243816018755,Narino
2023-11-01,4.155246020196052,Narino
2023-12-01,3.86777927553518,Narino
2024-01-01,3.8667799186245553,Narino
2024-02-01,3.6016136371563086,Narino
2024-03-01,4.035582733545796,Narino
2024-04-01,3.8081207013716227,Narino
2024-05-01,3.9798028229624802,Narino
2024-06-01,3.925061092101153,Narino
2024-07-01,4.049195288313671,Narino
2024-08-01,4.01445970107961,Narino
2024-09-01,3.470620466607717,Narino
